Comments
"2024-02-11 $9.82 || industrial motor & controls - west chester, ohio, united states #1417 ||% MCC 3348"
"2024-01-25 $258.75 || mayfield & associates - solana beach, california, united states #6649 ||% MCC 4709"
"2024-01-24 $181.51 || burdett metalsmithing & design - broomfield, colorado, united states #1004 ||% MCC 2437"
"2024-02-16 $52.26 || the catalyst agency llc - odessa, florida, united states #1184 ||% MCC 1949"
"2024-02-23 $144.80 || wisconsin turf equipment corp - new berlin, wisconsin, united states #3438 ||% MCC 5493"
"2024-03-04 $227.94 || service electrical contractors, inc. - flushing, new york, united states #9451 ||% MCC 3643"
2024-02-08 $161.62 || wood technology center - nan #8670 ||% MCC 1144
"2024-02-22 $107.51 || ite @ umsl (innovative technology enterprises) - st. louis, missouri, united states #5345 ||% MCC 4429"
"2024-03-16 $170.74 || ik solutions inc - newark, delaware, united states #4531 ||% MCC 2917"
"2024-02-27 $338.23 || tre native - atlanta, georgia, united states #1737 ||% MCC 5317"
"2024-03-01 $134.21 || chisholm exploration inc - abilene, texas, united states #3666 ||% MCC 2326"
"2024-03-12 $13.58 || strategic business advisers - santa clarita, california, united states #6904 ||% MCC 5529"
"2024-02-29 $464.02 || cosmetic procedures center - stockton, new jersey, united states #6834 ||% MCC 1067"
"2024-03-20 $76.94 || summit childrens program inc - philadelphia, pennsylvania, united states #9638 ||% MCC 2210"
"2024-03-06 $78.43 || doris italian market & bakery - pembroke pines, florida, united states #1055 ||% MCC 1184"
"2024-03-07 $168.31 || railworks track systems inc - fremont, nebraska, united states #1126 ||% MCC 5119"
"2024-02-24 $105.18 || cascade fresh cleaning services, llc - holland, michigan, united states #4150 ||% MCC 4984"
"2024-03-18 $356.55 || marsol technologies inc - houston, texas, united states #7458 ||% MCC 5082"
"2024-02-12 $249.57 || bryn athyn cathedral - bryn athyn, pennsylvania, united states #3479 ||% MCC 4827"
"2024-02-01 $417.84 || k & d krueger farms & sons - east grand forks, minnesota, united states #3899 ||% MCC 1758"
"2024-03-12 $341.78 || riverstone advisors, llc - new braunfels, texas, united states #5795 ||% MCC 4015"
"2024-03-24 $128.20 || champion graphics - cincinnati, ohio, united states #7239 ||% MCC 1816"
"2024-03-02 $382.32 || hotel st augustine - miami beach, florida, united states #6499 ||% MCC 1220"
"2024-01-19 $432.79 || mona fashion - denver, colorado, united states #6193 ||% MCC 1202"
"2024-01-14 $84.82 || western flyer delivery - denver, colorado, united states #3025 ||% MCC 1225"
"2024-02-08 $352.39 || a-1 vacuum sales & service - louisville, kentucky, united states #5750 ||% MCC 4815"
"2024-03-09 $221.98 || pc treasures - zanesville, ohio, united states #5477 ||% MCC 4586"
"2024-02-22 $381.16 || west foothill animal hospital - glendora, california, united states #5141 ||% MCC 2093"
"2024-03-23 $278.84 || bionic squid llc - arlington, massachusetts, united states #6612 ||% MCC 2808"
"2024-01-14 $277.40 || cybersearch - palatine, illinois, united states #1018 ||% MCC 1830"
"2024-01-20 $453.13 || montana state hospital - deer lodge, montana, united states #6409 ||% MCC 5512"
"2024-03-01 $72.91 || greenlyfe - rowlett, texas, united states #2068 ||% MCC 1055"
"2024-03-15 $189.14 || first station media, inc. - milwaukee, wisconsin, united states #8908 ||% MCC 3148"
"2024-02-01 $461.56 || breakaway marketing - pittsburgh, pennsylvania, united states #8508 ||% MCC 3696"
"2024-01-29 $307.31 || on time delivery - bloomington, minnesota, united states #2322 ||% MCC 5059"
"2024-01-21 $94.83 || medical equipment planning online / paradise fish & game network - chico, california, united states #5948 ||% MCC 3313"
"2024-02-04 $347.18 || vineyard brands - birmingham, alabama, united states #5202 ||% MCC 1576"
"2024-02-15 $148.53 || pioneer general insurance - norwalk, california, united states #7840 ||% MCC 2772"
"2024-02-15 $303.77 || caroll's corn crib, inc. - orlando, florida, united states #8006 ||% MCC 2683"
"2024-01-27 $316.64 || the climate service - asheville, north carolina, united states #5867 ||% MCC 2912"
"2024-03-11 $415.55 || electric coffin creative supply co - everett, washington, united states #1170 ||% MCC 1847"
"2024-03-22 $143.34 || marketing best practices - webster, texas, united states #8586 ||% MCC 5307"
"2024-02-09 $355.84 || ebinger manufacturing co. - brighton, michigan, united states #2110 ||% MCC 3472"
"2024-01-15 $375.42 || trump construction - portland, michigan, united states #8262 ||% MCC 1885"
"2024-03-23 $275.60 || taz transport services, llc - wallington, new jersey, united states #7357 ||% MCC 5296"
"2024-01-02 $74.10 || music business registry - los angeles, california, united states #9717 ||% MCC 3353"
"2024-03-10 $175.71 || garment management systems - little rock, arkansas, united states #8252 ||% MCC 3709"
"2024-01-25 $105.01 || simmons suites - bentonville, arkansas, united states #8933 ||% MCC 1100"
"2024-03-07 $40.30 || penn state humanitarian engineering and social entrepreneurship (hese) - university park, pennsylvania, united states #8046 ||% MCC 4239"
"2024-01-22 $379.89 || twelve oaks catering - dallas, texas, united states #5585 ||% MCC 2776"
"2024-03-16 $441.85 || enterprise steelfab inc - oshkosh, wisconsin, united states #8538 ||% MCC 4972"
2024-01-15 $131.05 || cloud payroll - nan #3765 ||% MCC 2114
"2024-02-27 $479.17 || vertical brokerage, inc. - downers grove, illinois, united states #5913 ||% MCC 3772"
"2024-03-10 $352.21 || audi palo alto - palo alto, california, united states #6114 ||% MCC 4396"
"2024-02-07 $444.02 || amrit homes ltd - united kingdom, north carolina, united states #8929 ||% MCC 4330"
"2024-02-19 $238.25 || black entrepreneurs, inc. - saint louis, missouri, united states #4193 ||% MCC 4618"
"2024-03-19 $428.21 || silver image photography - haddonfield, new jersey, united states #6858 ||% MCC 1500"
"2024-01-19 $271.34 || wrapped - venice, california, united states #2287 ||% MCC 4349"
"2024-02-03 $265.77 || video features inc - cincinnati, ohio, united states #9804 ||% MCC 3722"
"2024-02-16 $218.10 || honeycomb asset management lp - new york, new york, united states #3180 ||% MCC 1169"
"2024-01-16 $112.02 || heywood real estate - chicago, illinois, united states #7698 ||% MCC 1000"
"2024-03-16 $343.74 || building trades employers' association - new york, new york, united states #9937 ||% MCC 3653"
"2024-01-29 $163.51 || grabird software development - cumming, georgia, united states #9174 ||% MCC 5369"
"2024-02-23 $306.49 || rkc inc. - nashville, arkansas, united states #2612 ||% MCC 1049"
"2024-02-21 $25.91 || stokes auto repair shop - jackson, mississippi, united states #2221 ||% MCC 2801"
"2024-01-13 $84.46 || the waldorf school of st. louis - st. louis, missouri, united states #2057 ||% MCC 5502"
"2024-01-19 $421.24 || micro mobile media, llc - alpharetta, georgia, united states #4353 ||% MCC 5141"
"2024-01-03 $116.85 || oakridge nursing center - durant, oklahoma, united states #2661 ||% MCC 3738"
"2024-01-24 $301.16 || goodman associates - chino, california, united states #1524 ||% MCC 4404"
"2024-01-25 $109.57 || primavera pizzeria - clarksburg, new jersey, united states #4746 ||% MCC 3350"
"2024-03-02 $398.30 || city of holland - holland, michigan, united states #6943 ||% MCC 5259"
"2024-03-24 $397.88 || rare form limousine - bellevue, washington, united states #8744 ||% MCC 1895"
"2024-02-12 $44.10 || chignon hair salon - pasadena, california, united states #6388 ||% MCC 2954"
"2024-02-24 $413.23 || future financial resource group - mequon, wisconsin, united states #4872 ||% MCC 1293"
"2024-01-07 $98.06 || hcr telecom services - parker, colorado, united states #1703 ||% MCC 1330"
"2024-03-06 $8.21 || anthony animal clinic - fort wayne, indiana, united states #2176 ||% MCC 2169"
"2024-03-01 $214.19 || halco life safety systems - houston, texas, united states #3000 ||% MCC 3055"
"2024-01-07 $34.59 || rhythmic - herndon, virginia, united states #9249 ||% MCC 3234"
"2024-03-08 $429.83 || leap (local energy alliance program) - charlottesville, virginia, united states #4963 ||% MCC 1091"
"2024-01-11 $413.86 || mid atlantic vascular - myrtle beach, south carolina, united states #1795 ||% MCC 1336"
"2024-02-13 $494.22 || shampoo avenue b - new york, lincolnshire, united kingdom #2519 ||% MCC 1759"
"2024-01-16 $42.36 || zelkova ventures - new york, new york, united states #2058 ||% MCC 3600"
"2024-03-13 $442.49 || technology project excellence - marietta, georgia, united states #2587 ||% MCC 5382"
"2024-02-25 $213.01 || level set consulting - lsc - chicago, illinois, united states #9387 ||% MCC 3491"
"2024-01-29 $311.21 || accurate bookkeeping & tax - oro valley, arizona, united states #3050 ||% MCC 4872"
"2024-02-27 $323.53 || frazier pest control, inc. - devine, texas, united states #2397 ||% MCC 3235"
"2024-01-11 $307.97 || datamax of texas - coppell, texas, united states #4534 ||% MCC 5408"
"2024-01-16 $109.19 || dumfries triangle fire - dumfries, virginia, united states #7016 ||% MCC 2973"
"2024-01-26 $84.98 || mesa custom machining corp - gilbert, arizona, united states #8717 ||% MCC 2705"
